Accessing Elements for double type.
N   total time    time per operation   Log(N)
0        114         inf       inf
50        1266         25.32       4.66221
100        387         3.87       1.95233
150        619         4.12667       2.04498
200        889         4.445       2.15218
250        1159         4.636       2.21288
300        1444         4.81333       2.26704
350        1765         5.04286       2.33424
400        2024         5.06       2.33914
450        2290         5.08889       2.34735
500        2619         5.238       2.38902
550        2918         5.30545       2.40748
600        3219         5.365       2.42358
650        3529         5.42923       2.44075
700        3876         5.53714       2.46914
750        4119         5.492       2.45733
800        4513         5.64125       2.49601
850        4821         5.67176       2.5038
900        5181         5.75667       2.52523
950        5517         5.80737       2.53788
1000        5866         5.866       2.55238
1050        6206         5.91048       2.56327
1100        6603         6.00273       2.58562
1150        6900         6       2.58496
1200        7280         6.06667       2.6009
1250        7603         6.0824       2.60464
1300        8045         6.18846       2.62958
1350        8363         6.19481       2.63106
1400        8652         6.18       2.62761
1450        9024         6.22345       2.63771
1500        9363         6.242       2.64201
1550        9805         6.32581       2.66125
1600        10416         6.51       2.70266
1650        10608         6.42909       2.68461
1700        10973         6.45471       2.69035
1750        11366         6.49486       2.6993
1800        11616         6.45333       2.69004
1850        12047         6.51189       2.70308
1900        12408         6.53053       2.7072
1950        13116         6.72615       2.74978
2000        13421         6.7105       2.74642
2050        13811         6.73707       2.75212
2100        13998         6.66571       2.73676
2150        14270         6.63721       2.73058
2200        14739         6.69955       2.74406
2250        15123         6.72133       2.74875
2300        17411         7.57       2.92029
2350        15962         6.79234       2.76391
2400        16523         6.88458       2.78337
2450        16626         6.78612       2.76259
2500        16964         6.7856       2.76248
2550        17474         6.85255       2.77664
2600        17782         6.83923       2.77383
2650        18157         6.8517       2.77646
2700        18736         6.93926       2.79478
2750        19059         6.93055       2.79297
2800        19419         6.93536       2.79397
2850        22291         7.8214       2.96743
2900        22667         7.81621       2.96647
2950        22986         7.79186       2.96197
3000        21899         7.29967       2.86783
3050        21402         7.01705       2.81086
3100        21893         7.06226       2.82013
3150        22177         7.04032       2.81564
3200        24551         7.67219       2.93964
3250        23087         7.10369       2.82857
3300        23370         7.08182       2.82412
3350        23680         7.06866       2.82144
3400        24333         7.15676       2.83931
3450        24653         7.1458       2.83709
3500        31048         8.87086       3.14907
3550        25727         7.24704       2.85739
3600        25733         7.14806       2.83755
3650        26366         7.22356       2.85271
3700        26826         7.25027       2.85803
3750        26974         7.19307       2.84661
3800        27488         7.23368       2.85473
3850        28094         7.29714       2.86733
3900        30288         7.76615       2.9572
3950        28807         7.29291       2.86649
4000        29050         7.2625       2.86047
4050        29855         7.3716       2.88198
4100        29815         7.27195       2.86234
4150        30261         7.29181       2.86628
4200        30743         7.31976       2.8718
4250        31766         7.47435       2.90195
4300        31353         7.2914       2.86619
4350        31860         7.32414       2.87266
4400        32503         7.38705       2.885
4450        34499         7.75258       2.95468
4500        34200         7.6       2.926
4550        33771         7.4222       2.89185
4600        34337         7.46457       2.90006
4650        37635         8.09355       3.01677
4700        35112         7.47064       2.90123
4750        35642         7.50358       2.90758
4800        35821         7.46271       2.8997
4850        36501         7.52598       2.91188
4900        36825         7.51531       2.90983
4950        37024         7.4796       2.90296
5000        39600         7.92       2.9855
5050        38200         7.56436       2.91922
5100        38335         7.51667       2.91009
5150        38829         7.53961       2.91449
5200        39226         7.54346       2.91523
5250        39620         7.54667       2.91584
5300        40491         7.63981       2.93354
5350        41818         7.81645       2.96651
5400        40908         7.57556       2.92135
5450        43657         8.01046       3.00188
5500        41863         7.61145       2.92817
5550        41952         7.55892       2.91818
5600        42769         7.63732       2.93307
5650        42834         7.58124       2.92243
5700        43330         7.60175       2.92633
5750        43914         7.63722       2.93305
5800        44261         7.63121       2.93191
5850        44590         7.62222       2.93021
5900        51856         8.78915       3.13572
5950        45799         7.69731       2.94435
6000        46932         7.822       2.96754
6050        46911         7.75388       2.95492
6100        46687         7.65361       2.93614
6150        47178         7.67122       2.93946
6200        47962         7.73581       2.95155
6250        48285         7.7256       2.94965
6300        50415         8.00238       3.00043
6350        49450         7.7874       2.96114
6400        49369         7.71391       2.94746
6450        49871         7.73194       2.95083
6500        50362         7.748       2.95382
6550        50819         7.75863       2.9558
6600        52070         7.88939       2.97991
6650        51807         7.79053       2.96172
6700        54793         8.17806       3.03176
6750        52874         7.83319       2.9696
6800        53018         7.79676       2.96288
6850        53471         7.80599       2.96458
6900        58743         8.51348       3.08975
6950        54510         7.84317       2.97144
7000        55033         7.86186       2.97487
7050        55222         7.83291       2.96955
7100        57888         8.15324       3.02737
7150        56751         7.9372       2.98863
7200        56737         7.88014       2.97822
7250        57141         7.88152       2.97847
7300        57451         7.87       2.97636
7350        57997         7.89075       2.98016
7400        58462         7.90027       2.9819
7450        62733         8.42054       3.07391
7500        60021         8.0028       3.0005
7550        60071         7.95642       2.99212
7600        60232         7.92526       2.98646
7650        60749         7.94105       2.98933
7700        61267         7.95675       2.99218
7750        67196         8.67045       3.11611
7800        64237         8.23551       3.04186
7850        62661         7.98229       2.9968
7900        63317         8.01481       3.00267
7950        63963         8.04566       3.00821
8000        63772         7.9715       2.99485
8050        64133         7.96683       2.99401
8100        66435         8.20185       3.03595
8150        65601         8.0492       3.00885
8200        65791         8.02329       3.00419
8250        65828         7.97915       2.99624
8300        66456         8.00675       3.00122
8350        66855         8.00659       3.00119
8400        67572         8.04429       3.00796
8450        70074         8.29278       3.05186
8500        73242         8.61671       3.10714
8550        68613         8.02491       3.00449
8600        69397         8.06942       3.01246
8650        69391         8.02208       3.00398
8700        70092         8.05655       3.01016
8750        72393         8.27349       3.0485
8800        71256         8.09727       3.01744
8850        71211         8.04644       3.00835
8900        72052         8.09573       3.01716
8950        72386         8.08782       3.01575
9000        73036         8.11511       3.02061
9050        75033         8.29094       3.05154
9100        74129         8.14604       3.0261
9150        73994         8.08678       3.01556
9200        80885         8.79185       3.13617
9250        77391         8.36659       3.06464
9300        75731         8.14312       3.02558
9350        76270         8.15722       3.02808
9400        79262         8.43213       3.0759
9450        76937         8.14148       3.02529
9500        77345         8.14158       3.02531
9550        77696         8.13571       3.02427
9600        78225         8.14844       3.02652
9650        80788         8.37181       3.06554
9700        79451         8.19082       3.03401
9750        79844         8.18913       3.03371
9800        80173         8.18092       3.03226
9850        83109         8.43746       3.07681
9900        80877         8.16939       3.03023
9950        84092         8.45146       3.0792
10000        82073         8.2073       3.03691
10050        82847         8.24348       3.04325
10100        82780         8.19604       3.03493
10150        83976         8.2735       3.0485
10200        83703         8.20618       3.03671
10250        87312         8.51824       3.09056
10300        84652         8.21864       3.0389
10350        85713         8.28145       3.04988
10400        86637         8.33048       3.0584
10450        95883         9.17541       3.19777
10500        95740         9.1181       3.18873
10550        93764         8.88758       3.15179
10600        87416         8.24679       3.04383
10650        88491         8.30901       3.05468
10700        88533         8.27411       3.0486
10750        89399         8.31619       3.05592
10800        91338         8.45722       3.08018
10850        90491         8.34018       3.06008
10900        90130         8.26881       3.04768
10950        92726         8.46813       3.08204
11000        99192         9.01745       3.17272
11050        92759         8.39448       3.06944
11100        95136         8.57081       3.09943
11150        93429         8.37928       3.06683
11200        93262         8.32696       3.05779
11250        94270         8.37956       3.06687
11300        93902         8.30991       3.05483
11350        97414         8.58273       3.10144
11400        95129         8.34465       3.06085
11450        95909         8.37633       3.06632
11500        100321         8.72357       3.12492
11550        97062         8.40364       3.07101
11600        101075         8.71336       3.12323
11650        97790         8.39399       3.06936
11700        98100         8.38462       3.06774
11750        98588         8.39047       3.06875
11800        99370         8.42119       3.07402
11850        100631         8.49207       3.08612
11900        100790         8.46975       3.08232
11950        100724         8.42879       3.07532
12000        107826         8.9855       3.1676
12050        112641         9.3478       3.22463
12100        102492         8.47041       3.08243
12150        105178         8.65663       3.1138
12200        103079         8.4491       3.0788
12250        111382         9.09241       3.18466
12300        115774         9.41252       3.23458
12350        108697         8.80138       3.13773
12400        116053         9.35911       3.22637
12450        113664         9.12964       3.19056
12500        117920         9.4336       3.23781
12550        114891         9.15466       3.19451
12600        113094         8.97571       3.16603
12650        113021         8.93447       3.15938
12700        110576         8.70677       3.12214
12750        114348         8.96847       3.16486
12800        113654         8.87922       3.15043
12850        134821         10.4919       3.3912
12900        120086         9.30899       3.21862
12950        112112         8.6573       3.11392
13000        112023         8.61715       3.10721
13050        124321         9.52651       3.25195
13100        122307         9.33641       3.22287
13150        116471         8.85711       3.14684
13200        117968         8.93697       3.15979
13250        122889         9.27464       3.21329
13300        122805         9.23346       3.20687
13350        128299         9.61041       3.2646
13400        129049         9.63052       3.26761
13450        117711         8.75175       3.12957
13500        116468         8.62726       3.1089
13550        116897         8.62708       3.10887
13600        117864         8.66647       3.11544
13650        120690         8.84176       3.14433
13700        120699         8.81015       3.13917
13750        119996         8.72698       3.12548
13800        117973         8.54877       3.09572
13850        118755         8.57437       3.10003
13900        121559         8.74525       3.1285
13950        119409         8.55978       3.09757
14000        119424         8.53029       3.09259
14050        119764         8.52413       3.09155
14100        121060         8.58582       3.10196
14150        125010         8.83463       3.14317
14200        121464         8.5538       3.09657
14250        122603         8.60372       3.10496
14300        122371         8.55741       3.09717
14350        125547         8.74892       3.1291
14400        123432         8.57167       3.09958
14450        123850         8.57093       3.09945
14500        124538         8.58883       3.10246
14550        135085         9.28419       3.21478
14600        127466         8.73055       3.12607
14650        126263         8.61863       3.10746
14700        126231         8.58714       3.10218
14750        127221         8.62515       3.10855
14800        127024         8.5827       3.10143
14850        129794         8.74034       3.12769
14900        128754         8.64121       3.11123
14950        138535         9.26656       3.21203
15000        129063         8.6042       3.10504
15050        129495         8.60432       3.10506
15100        132506         8.77523       3.13344
15150        130777         8.63215       3.10972
15200        130914         8.61276       3.10648
15250        131374         8.61469       3.1068
15300        140644         9.19242       3.20044
15350        133626         8.70528       3.12189
15400        133411         8.66305       3.11488
15450        133308         8.62835       3.10908
15500        133609         8.61994       3.10768
15550        136888         8.80309       3.13801
15600        135158         8.66397       3.11503
15650        136343         8.71201       3.12301
15700        136342         8.6842       3.11839
15750        136358         8.65765       3.11398
15800        139606         8.83582       3.14336
15850        137604         8.68164       3.11797
15900        138046         8.68214       3.11805
15950        137746         8.63611       3.11038
16000        140826         8.80162       3.13777
16050        141871         8.83931       3.14393
16100        139574         8.66919       3.1159
16150        139987         8.66793       3.11569
16200        140388         8.66593       3.11535
16250        143617         8.83797       3.14371
16300        141209         8.66313       3.11489
16350        142141         8.69364       3.11996
16400        154365         9.4125       3.23458
16450        147768         8.98286       3.16717
16500        144308         8.74594       3.12861
16550        144568         8.73523       3.12685
16600        144210         8.68735       3.11892
16650        144764         8.69453       3.12011
16700        148067         8.86629       3.14833
16750        160739         9.59636       3.26249
16800        146651         8.72923       3.12585
16850        146732         8.70813       3.12236
16900        147575         8.73225       3.12635
16950        150298         8.86714       3.14847
17000        150846         8.87329       3.14947
17050        153551         9.00592       3.17087
17100        149926         8.7676       3.13218
17150        152320         8.88163       3.15082
17200        150473         8.74843       3.12902
17250        151083         8.75843       3.13067
17300        151117         8.73509       3.12682
17350        151642         8.74017       3.12766
17400        158582         9.11391       3.18807
17450        153471         8.7949       3.13667
17500        153389         8.76509       3.13177
17550        153659         8.7555       3.13019
17600        156679         8.90222       3.15416
17650        154639         8.76142       3.13116
17700        158311         8.94412       3.16094
17750        155731         8.77358       3.13317
17800        156694         8.80303       3.138
17850        159015         8.9084       3.15517
17900        158247         8.84061       3.14415
17950        158440         8.82674       3.14188
18000        158266         8.79256       3.13628
18050        165519         9.17003       3.19693
18100        159822         8.82994       3.1424
18150        160133         8.82275       3.14123
18200        160915         8.84148       3.14429
18250        163256         8.94553       3.16117
18300        161865         8.84508       3.14488
18350        165538         9.02114       3.17331
18400        163361         8.87832       3.15029
18450        163219         8.84656       3.14512
18500        166433         8.99638       3.16934
18550        164248         8.85434       3.14638
18600        165225         8.88306       3.15106
18650        178084         9.54874       3.25531
18700        179257         9.58594       3.26092
18750        166324         8.87061       3.14903
18800        166572         8.86021       3.14734
18850        167587         8.89056       3.15227
18900        167437         8.8591       3.14716
18950        184155         9.71794       3.28065
19000        169075         8.89868       3.15359
19050        169179         8.88079       3.15069
19100        169456         8.87204       3.14927
19150        172237         8.9941       3.16898
19200        171680         8.94167       3.16054
19250        186697         9.69855       3.27777
19300        172991         8.96326       3.16402
19350        174601         9.02331       3.17366
19400        173979         8.96799       3.16478
19450        173321         8.91111       3.1556
19500        180095         9.23564       3.20721
19550        181174         9.26721       3.21214
19600        177495         9.05587       3.17885
19650        175221         8.9171       3.15657
19700        175447         8.90594       3.15477
19750        175769         8.8997       3.15376
