Accessing Elements for int type.
N   total time    time per operation   Log(N)
0        294         inf       inf
50        692         13.84       3.79077
100        87         0.87       -0.200913
150        128         0.853333       -0.228819
200        185         0.925       -0.112475
250        222         0.888       -0.171368
300        244         0.813333       -0.298081
350        284         0.811429       -0.301464
400        324         0.81       -0.304006
450        473         1.05111       0.0719152
500        411         0.822       -0.28279
550        444         0.807273       -0.308872
600        720         1.2       0.263034
650        523         0.804615       -0.313629
700        564         0.805714       -0.31166
750        603         0.804       -0.314733
800        643         0.80375       -0.315181
850        694         0.816471       -0.292527
900        723         0.803333       -0.315929
950        763         0.803158       -0.316244
1000        803         0.803       -0.316528
1050        850         0.809524       -0.304855
1100        892         0.810909       -0.302388
1150        922         0.801739       -0.318795
1200        963         0.8025       -0.317427
1250        1002         0.8016       -0.319046
1300        1053         0.81       -0.304006
1350        1654         1.22519       0.293
1400        1166         0.832857       -0.263859
1450        1417         0.977241       -0.0332131
1500        1223         0.815333       -0.294538
1550        1255         0.809677       -0.304581
1600        1282         0.80125       -0.319676
1650        1321         0.800606       -0.320836
1700        1378         0.810588       -0.302959
1750        1402         0.801143       -0.319869
1800        1442         0.801111       -0.319926
1850        1490         0.805405       -0.312213
1900        1522         0.801053       -0.320031
1950        1666         0.854359       -0.227086
2000        1601         0.8005       -0.321027
2050        1643         0.801463       -0.319291
2100        2287         1.08905       0.123067
2150        1977         0.919535       -0.121024
2200        1762         0.800909       -0.32029
2250        2037         0.905333       -0.143479
2300        1855         0.806522       -0.310215
2350        1989         0.846383       -0.240617
2400        1932         0.805       -0.312939
2450        1980         0.808163       -0.307281
2500        2011         0.8044       -0.314015
2550        2067         0.810588       -0.302959
2600        2091         0.804231       -0.314319
2650        2141         0.807925       -0.307708
2700        2179         0.807037       -0.309293
2750        3562         1.29527       0.373256
2800        2252         0.804286       -0.31422
2850        2288         0.802807       -0.316875
2900        2332         0.804138       -0.314485
2950        2370         0.80339       -0.315828
3000        2408         0.802667       -0.317127
3050        2451         0.803607       -0.315439
3100        2491         0.803548       -0.315543
3150        2527         0.802222       -0.317926
3200        2571         0.803438       -0.315742
3250        2611         0.803385       -0.315837
3300        2647         0.802121       -0.318108
3350        2691         0.803284       -0.316019
3400        2730         0.802941       -0.316634
3450        2768         0.802319       -0.317752
3500        2810         0.802857       -0.316785
3550        2858         0.80507       -0.312813
3600        2890         0.802778       -0.316927
3650        2918         0.799452       -0.322917
3700        3004         0.811892       -0.30064
3750        3012         0.8032       -0.316169
3800        3058         0.804737       -0.313411
3850        3081         0.80026       -0.32146
3900        5052         1.29538       0.373381
3950        3198         0.80962       -0.304683
4000        3200         0.8       -0.321928
4050        3848         0.950123       -0.0738131
4100        3299         0.804634       -0.313595
4150        3337         0.804096       -0.31456
4200        3373         0.803095       -0.316357
4250        3415         0.803529       -0.315577
4300        3454         0.803256       -0.316069
4350        3513         0.807586       -0.308312
4400        3533         0.802955       -0.31661
4450        3566         0.801348       -0.319499
4500        3609         0.802       -0.318326
4550        3657         0.803736       -0.315206
4600        3690         0.802174       -0.318013
4650        3737         0.803656       -0.31535
4700        3770         0.802128       -0.318096
4750        3814         0.802947       -0.316623
4800        3849         0.801875       -0.318551
4850        3893         0.80268       -0.317102
4900        3928         0.801633       -0.318987
4950        3974         0.802828       -0.316837
5000        4008         0.8016       -0.319046
5050        4056         0.803168       -0.316226
5100        4097         0.803333       -0.315929
5150        4128         0.801553       -0.319129
5200        4176         0.803077       -0.31639
5250        4209         0.801714       -0.31884
5300        4263         0.80434       -0.314123
5350        4521         0.845047       -0.242897
5400        4616         0.854815       -0.226316
5450        4376         0.802936       -0.316643
5500        4412         0.802182       -0.317999
