N   total time    time per operation   Log(N)
0        114         inf       inf
50        1099         21.98       4.45812
100        2346         23.46       4.55213
150        5325         35.5       5.14975
200        9242         46.21       5.53013
250        14391         57.564       5.84709
300        20585         68.6167       6.10049
350        28133         80.38       6.32876
400        36615         91.5375       6.51629
450        46391         103.091       6.68778
500        57082         114.164       6.83496
550        69177         125.776       6.97472
600        82053         136.755       7.09545
650        96670         148.723       7.21648
700        112094         160.134       7.32314
750        128511         171.348       7.42079
800        146162         182.702       7.51335
850        173264         203.84       7.67129
900        184871         205.412       7.68238
950        205818         216.651       7.75923
1000        228677         228.677       7.83717
1050        251213         239.25       7.90238
1100        290382         263.984       8.0443
1150        301329         262.025       8.03356
1200        328251         273.543       8.09562
1250        372729         298.183       8.22006
1300        393637         302.798       8.24221
1350        423805         313.93       8.2943
1400        456195         325.854       8.34808
1450        481497         332.067       8.37533
1500        523911         349.274       8.44822
1550        559211         360.781       8.49498
1600        590320         368.95       8.52728
1650        634890         384.782       8.5879
1700        658476         387.339       8.59745
1750        712266         407.009       8.66892
1800        785638         436.466       8.76972
1850        818620         442.497       8.78952
1900        834975         439.461       8.77959
1950        870150         446.231       8.80165
2000        928147         464.074       8.85821
2050        1020659         497.882       8.95966
2100        1045794         497.997       8.95999
2150        1104179         513.572       9.00442
2200        1135810         516.277       9.012
2250        1229317         546.363       9.09372
2300        1312638         570.712       9.15662
2350        1406487         598.505       9.22522
2400        1530033         637.514       9.31631
2450        1430678         583.95       9.1897
2500        2202288         880.915       9.78286
2550        1690502         662.942       9.37274
2600        1703611         655.235       9.35587
2650        1692517         638.686       9.31896
2700        1734001         642.223       9.32693
2750        1809202         657.892       9.36171
2800        1896065         677.166       9.40337
2850        1893100         664.246       9.37557
2900        2063824         711.663       9.47505
2950        2088852         708.085       9.46778
3000        2173706         724.569       9.50098
3050        2340750         767.459       9.58395
3100        2517913         812.23       9.66574
3150        2790984         886.027       9.79121
3200        2784525         870.164       9.76514
3250        3401496         1046.61       10.0315
3300        2850833         863.889       9.7547
3350        2829830         844.725       9.72234
3400        2876329         845.979       9.72448
3450        3555477         1030.57       10.0092
3500        2954483         844.138       9.72134
3550        3150479         887.459       9.79354
3600        3187769         885.491       9.79033
3650        3164583         867.009       9.7599
3700        4055634         1096.12       10.0982
3750        3385242         902.731       9.81815
3800        3487828         917.849       9.84211
3850        3619900         940.234       9.87688
3900        3764752         965.321       9.91486
3950        3798370         961.613       9.90931
4000        3830025         957.506       9.90314
4050        3913017         966.177       9.91614
4100        4821493         1175.97       10.1996
4150        4164677         1003.54       9.97088
4200        4172191         993.379       9.9562
4250        5186255         1220.3       10.253
4300        4631882         1077.18       10.073
4350        4700740         1080.63       10.0777
4400        4815666         1094.47       10.096
4450        5419892         1217.95       10.2502
4500        4786251         1063.61       10.0548
4550        4806792         1056.44       10.045
4600        5796855         1260.19       10.2994
4650        5112944         1099.56       10.1027
4700        6023590         1281.61       10.3237
4750        5444389         1146.19       10.1626
4800        6526089         1359.6       10.409
4850        6500398         1340.29       10.3883
4900        6093297         1243.53       10.2802
4950        6251179         1262.86       10.3025
5000        6732021         1346.4       10.3949
5050        6773469         1341.28       10.3894
5100        6785435         1330.48       10.3777
5150        6871392         1334.25       10.3818
5200        7234943         1391.34       10.4423
5250        7501155         1428.79       10.4806
5300        6920343         1305.73       10.3506
5350        7648593         1429.64       10.4814
5400        6889681         1275.87       10.3173
5450        8034232         1474.17       10.5257
5500        7316414         1330.26       10.3775
5550        9067991         1633.87       10.6741
5600        7706698         1376.2       10.4265
5650        8386349         1484.31       10.5356
5700        8389635         1471.87       10.5234
5750        8442646         1468.29       10.5199
5800        8610552         1484.58       10.5358
5850        9191392         1571.18       10.6176
5900        8327927         1411.51       10.463
5950        8530875         1433.76       10.4856
6000        8825760         1470.96       10.5225
6050        9640923         1593.54       10.638
6100        9004222         1476.1       10.5276
6150        9183651         1493.28       10.5443
6200        9942004         1603.55       10.6471
6250        11040253         1766.44       10.7866
6300        10774485         1710.24       10.74
6350        11757810         1851.62       10.8546
6400        11917909         1862.17       10.8628
6450        10768856         1669.59       10.7053
6500        10651361         1638.67       10.6783
6550        11728766         1790.65       10.8063
6600        11829835         1792.4       10.8077
6650        11166025         1679.1       10.7135
6700        12057873         1799.68       10.8135
6750        10653560         1578.31       10.6242
6800        10909155         1604.29       10.6477
6850        11083657         1618.05       10.66
6900        11285244         1635.54       10.6756
6950        11368585         1635.77       10.6758
7000        12310288         1758.61       10.7802
7050        12435408         1763.89       10.7845
7100        12624655         1778.12       10.7961
7150        13050449         1825.24       10.8339
7200        14181196         1969.61       10.9437
7250        13070361         1802.81       10.816
7300        13321154         1824.82       10.8335
7350        14235754         1936.84       10.9195
7400        13304198         1797.86       10.8121
7450        15747283         2113.73       11.0456
7500        15345811         2046.11       10.9987
7550        15945043         2111.93       11.0443
7600        15039428         1978.87       10.9505
7650        14712309         1923.18       10.9093
7700        15116764         1963.22       10.939
7750        14491645         1869.89       10.8687
7800        15070092         1932.06       10.9159
7850        16539023         2106.88       11.0409
7900        16522600         2091.47       11.0303
7950        16813894         2114.96       11.0464
8000        17408998         2176.12       11.0875
8050        16795578         2086.41       11.0268
8100        16932353         2090.41       11.0296
8150        18555134         2276.7       11.1527
8200        17464677         2129.84       11.0565
8250        17888798         2168.34       11.0824
8300        19297602         2325.01       11.183
8350        18328564         2195.04       11.1
8400        18498942         2202.26       11.1048
8450        19337156         2288.42       11.1601
8500        18158986         2136.35       11.0609
8550        17804703         2082.42       11.024
8600        20112737         2338.69       11.1915
8650        20323901         2349.58       11.1982
8700        20497275         2356.01       11.2021
8750        19191723         2193.34       11.0989
8800        18866798         2143.95       11.0661
8850        21645403         2445.81       11.2561
8900        19698093         2213.27       11.112
8950        19889989         2222.35       11.1179
9000        22203879         2467.1       11.2686
9050        21661307         2393.51       11.2249
9100        23056320         2533.66       11.307
9150        22820476         2494.04       11.2843
9200        22651164         2462.08       11.2657
9250        23094024         2496.65       11.2858
9300        23256926         2500.74       11.2881
9350        24332404         2602.4       11.3456
9400        24709797         2628.7       11.3601
9450        22992137         2433.03       11.2485
9500        23784019         2503.58       11.2898
9550        24363180         2551.12       11.3169
9600        24528302         2555.03       11.3191
9650        24905467         2580.88       11.3336
9700        25763552         2656.04       11.3751
9750        25606806         2626.34       11.3588
9800        26267714         2680.38       11.3882
9850        24268053         2463.76       11.2666
9900        24467430         2471.46       11.2711
9950        26728653         2686.3       11.3914
10000        25368651         2536.87       11.3088
10050        26627321         2649.48       11.3715
10100        28068009         2779.01       11.4404
10150        26441459         2605.07       11.3471
10200        27961762         2741.35       11.4207
10250        28768103         2806.64       11.4546
10300        25709273         2496.05       11.2854
10350        28169914         2721.73       11.4103
10400        28157986         2707.5       11.4027
10450        30347666         2904.08       11.5039
10500        31512899         3001.23       11.5513
10550        30677990         2907.87       11.5057
10600        30899877         2915.08       11.5093
10650        28763896         2700.84       11.3992
10700        31633711         2956.42       11.5296
10750        30930154         2877.22       11.4905
10800        29443002         2726.2       11.4127
10850        29654870         2733.17       11.4164
10900        30648682         2811.81       11.4573
10950        265875394         24280.9       14.5675
11000        50148686         4558.97       12.1545
11050        52460689         4747.57       12.213
11100        51177137         4610.55       12.1707
11150        51597479         4627.58       12.176
11200        53562012         4782.32       12.2235
11250        55294828         4915.1       12.263
11300        53619039         4745.05       12.2122
11350        53709709         4732.13       12.2083
11400        54288916         4762.19       12.2174
11450        54592164         4767.87       12.2191
11500        55441358         4820.99       12.2351
11550        55515663         4806.55       12.2308
11600        56410442         4862.97       12.2476
11650        58724149         5040.7       12.2994
11700        57725598         4933.81       12.2685
11750        57597123         4901.88       12.2591
11800        57067541         4836.23       12.2397
11850        59439566         5016       12.2923
11900        59104398         4966.76       12.2781
11950        59390509         4969.92       12.279
12000        60032820         5002.73       12.2885
12050        60489446         5019.87       12.2934
12100        61208316         5058.54       12.3045
12150        61656276         5074.59       12.3091
12200        62144409         5093.8       12.3145
12250        62820777         5128.23       12.3242
12300        64125858         5213.48       12.348
12350        63167686         5114.79       12.3205
12400        63633871         5131.76       12.3252
12450        64623282         5190.63       12.3417
12500        65635507         5250.84       12.3583
12550        66059008         5263.67       12.3619
12600        65958103         5234.77       12.3539
12650        67284763         5318.95       12.3769
12700        68397830         5385.66       12.3949
12750        69245883         5431.05       12.407
12800        69797110         5452.9       12.4128
12850        68877165         5360.09       12.388
12900        71026760         5505.95       12.4268
12950        71651135         5532.91       12.4338
13000        68281294         5252.41       12.3588
13050        70739967         5420.69       12.4043
13100        72249196         5515.21       12.4292
13150        73231596         5568.94       12.4432
13200        74960671         5678.84       12.4714
13250        73110603         5517.78       12.4299
13300        74339159         5589.41       12.4485
13350        74208613         5558.7       12.4405
13400        75427068         5628.89       12.4586
13450        75608008         5621.41       12.4567
13500        77958484         5774.7       12.4955
13550        76897173         5675.07       12.4704
13600        77041484         5664.81       12.4678
13650        78347074         5739.71       12.4868
13700        80214286         5855.06       12.5155
13750        83185981         6049.89       12.5627
13800        85882674         6223.38       12.6035
13850        84884843         6128.87       12.5814
